quotation_id,quotation_date,print_category,quantity,standard_size,width,height,paper_type,gsm,colour_mode,sides,page_count,finishing_type,urgency,delivery_requirement,printing_cost,finishing_cost,delivery_cost,total_price,location,data_source,access_date,data_type
PUB-0001,,business cards,100,,,,art paper,300.0,,,,matte lamination,,,,,,1500.0,,https://advertisingsrilanka.lk/business-card-printing-sri-lanka,2026-08-20,Publicly available Sri Lankan price
PUB-0002,,business cards,200,,,,art paper,300.0,,,,matte lamination,,,,,,3500.0,,https://advertisingsrilanka.lk/business-card-printing-sri-lanka,2026-08-20,Publicly available Sri Lankan price
PUB-0003,,business cards,500,,,,,,,,,foil finishing,,,,,,15000.0,,https://advertisingsrilanka.lk/business-card-printing-sri-lanka,2026-08-20,Publicly available Sri Lankan price
PUB-0004,,business cards,1,,,,,,,,,,,,,,,12.0,,https://printit.lk/product/business-cards-printing/,2026-08-20,Publicly available Sri Lankan price
PUB-0005,,business cards,1,,,,,,,,,,,,,,,26.5,,https://printit.lk/product/business-cards-printing/,2026-08-20,Publicly available Sri Lankan price
PUB-0006,,flyers,1,A5,,,art paper,120.0,,single-sided,,,,,,,,24.0,,https://printit.lk/product/flyers-and-leaflets-printing/,2026-08-20,Publicly available Sri Lankan price
PUB-0007,,certificates,1,,,,,,,,,,,,,,,100.0,,https://printit.lk/product/certificate-printing/,2026-08-20,Publicly available Sri Lankan price
PUB-0008,,certificates,1,,,,,,,,,,,,,,,80.0,,http://www.eagercreations.lk/products/certificates/,2026-08-20,Publicly available Sri Lankan price
PUB-0009,,certificates,1,,,,,,,,,,,,,,,20.0,,http://www.eagercreations.lk/products/certificates/,2026-08-20,Publicly available Sri Lankan price
PUB-0010,,invitations,1,,,,,,,,,,,,,,,50.0,,https://printit.lk/product/invitation-cards-printing/,2026-08-20,Publicly available Sri Lankan price
PUB-0011,,stickers,500,,,,sticker paper,,,,,none,,,,,,3350.0,,https://mgprinters.lk/product/sticker-printing/,2026-08-20,Publicly available Sri Lankan price
PUB-0012,,stickers,500,,,,sticker paper,,,,,none,,,,,,3900.0,,https://mgprinters.lk/product/sticker-printing/,2026-08-20,Publicly available Sri Lankan price
SYN-0001,,business cards,100,A3,,,bristol board,80.0,black and white,single-sided,,matte lamination,rush (same/next day),self-collection,1324.05,300.0,0.0,2192.47,Kalutara,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0002,,business cards,750,A3,,,art paper,80.0,black and white,single-sided,,spot UV,rush (same/next day),island-wide courier,6693.75,9000.0,650.0,21836.56,Gampaha,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0003,,business cards,200,A3,,,sticker paper,350.0,black and white,double-sided,,creasing,rush (same/next day),delivery,3925.82,400.0,350.0,6189.86,Galle,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0004,,business cards,750,A6,,,bristol board,120.0,black and white,single-sided,,embossing,standard,self-collection,9049.95,6000.0,0.0,15049.95,Kandy,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0005,,business cards,500,A6,,,sticker paper,120.0,black and white,double-sided,,creasing,rush (same/next day),self-collection,7425.6,1000.0,0.0,11374.56,Kandy,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0006,,business cards,2000,A4,,,sticker paper,120.0,black and white,double-sided,,gloss lamination,standard,island-wide courier,26208.0,6000.0,650.0,32858.0,Kaduwela,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0007,,business cards,100,A4,,,art paper,100.0,full colour,double-sided,,creasing,rush (same/next day),delivery,2374.56,200.0,350.0,3825.66,Jaffna,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0008,,business cards,500,A4,,,bristol board,100.0,black and white,single-sided,,perforation,rush (same/next day),self-collection,5917.27,1000.0,0.0,9338.32,Kurunegala,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0009,,business cards,750,A5,,,sticker paper,120.0,full colour,single-sided,,none,standard,self-collection,9945.0,0.0,0.0,9945.0,Matara,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0010,,business cards,300,A6,,,bond paper,80.0,black and white,double-sided,,creasing,urgent (1-2 days),island-wide courier,4173.12,600.0,650.0,6377.74,Galle,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0011,,business cards,300,A4,,,bond paper,100.0,full colour,double-sided,,binding,urgent (1-2 days),self-collection,6080.83,4500.0,0.0,12697.0,Gampaha,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0012,,business cards,1000,A3,,,art paper,80.0,black and white,single-sided,,matte lamination,rush (same/next day),delivery,7875.0,3000.0,350.0,15031.25,Matara,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0013,,business cards,750,A5,,,ivory board,300.0,black and white,double-sided,,gloss lamination,rush (same/next day),island-wide courier,16332.75,2250.0,650.0,25736.71,Jaffna,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0014,,business cards,100,A5,,,ivory board,120.0,full colour,single-sided,,none,rush (same/next day),island-wide courier,1891.5,0.0,650.0,3203.53,Gampaha,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0015,,business cards,150,A3,,,art paper,300.0,black and white,double-sided,,matte lamination,urgent (1-2 days),self-collection,2982.17,450.0,0.0,4118.6,Kalutara,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0016,,business cards,500,A4,,,art paper,250.0,full colour,single-sided,,foil finishing,standard,self-collection,7458.75,5000.0,0.0,12458.75,Kalutara,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0017,,business cards,100,A4,,,ivory board,80.0,black and white,single-sided,,matte lamination,rush (same/next day),delivery,1273.12,300.0,350.0,2473.72,Kaduwela,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0018,,business cards,2000,A5,,,ivory board,300.0,black and white,single-sided,,foil finishing,urgent (1-2 days),island-wide courier,24018.75,20000.0,650.0,53472.5,Kurunegala,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0019,,business cards,2000,A4,,,art paper,250.0,black and white,single-sided,,gloss lamination,urgent (1-2 days),self-collection,18427.5,6000.0,0.0,29313.0,Kalutara,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0020,,business cards,200,A3,,,art paper,80.0,black and white,single-sided,,gloss lamination,standard,delivery,1932.0,600.0,350.0,2882.0,Gampaha,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0021,,visiting cards,200,A6,,,ivory board,120.0,black and white,single-sided,,creasing,standard,delivery,2511.6,400.0,350.0,3261.6,Negombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0022,,visiting cards,100,A3,,,ivory board,80.0,full colour,double-sided,,binding,urgent (1-2 days),island-wide courier,2910.0,1500.0,650.0,5942.0,Kandy,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0023,,visiting cards,50,A6,,,bristol board,250.0,black and white,single-sided,,spot UV,standard,island-wide courier,798.52,600.0,650.0,2048.52,Galle,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0024,,visiting cards,750,A3,,,bristol board,100.0,black and white,double-sided,,gloss lamination,urgent (1-2 days),island-wide courier,14201.46,2250.0,650.0,20391.75,Colombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0025,,visiting cards,2000,A4,,,art paper,80.0,black and white,single-sided,,binding,urgent (1-2 days),delivery,15750.0,30000.0,350.0,55250.0,Matara,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0026,,visiting cards,50,A6,,,ivory board,100.0,full colour,single-sided,,foil finishing,urgent (1-2 days),delivery,956.25,500.0,350.0,2097.5,Gampaha,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0027,,visiting cards,1000,A3,,,bond paper,100.0,black and white,double-sided,,none,rush (same/next day),island-wide courier,11566.8,0.0,650.0,16265.18,Jaffna,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0028,,visiting cards,50,A4,,,sticker paper,80.0,black and white,double-sided,,none,rush (same/next day),self-collection,840.0,0.0,0.0,1134.0,Kandy,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0029,,visiting cards,5000,A3,,,bond paper,80.0,black and white,double-sided,,spot UV,rush (same/next day),island-wide courier,56700.0,60000.0,650.0,158195.0,Kalutara,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0030,,visiting cards,100,A5,,,sticker paper,250.0,full colour,double-sided,,spot UV,rush (same/next day),island-wide courier,2723.76,1200.0,650.0,5947.08,Negombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0031,,visiting cards,300,A6,,,bond paper,250.0,full colour,double-sided,,embossing,standard,self-collection,6975.07,2400.0,0.0,9375.07,Kalutara,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0032,,visiting cards,5000,A4,,,art paper,80.0,full colour,single-sided,,matte lamination,urgent (1-2 days),self-collection,56250.0,15000.0,0.0,85500.0,Jaffna,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0033,,visiting cards,300,A3,,,ivory board,100.0,black and white,double-sided,,perforation,urgent (1-2 days),island-wide courier,5911.92,600.0,650.0,8464.3,Galle,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0034,,visiting cards,300,A5,,,art paper,80.0,full colour,single-sided,,foil finishing,rush (same/next day),self-collection,4140.0,3000.0,0.0,9639.0,Negombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0035,,visiting cards,300,A5,,,ivory board,300.0,black and white,double-sided,,gloss lamination,rush (same/next day),delivery,7071.12,900.0,350.0,11111.01,Colombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0036,,visiting cards,50,A6,,,bond paper,120.0,black and white,double-sided,,creasing,rush (same/next day),island-wide courier,786.24,100.0,650.0,1846.42,Gampaha,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0037,,visiting cards,50,A4,,,art paper,80.0,black and white,single-sided,,embossing,rush (same/next day),island-wide courier,525.0,400.0,650.0,1898.75,Matara,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
